id;imdb_id;title;original_title;release_date;runtime;original_language;popularity;homepage;budget;revenue;status;tagline;overview
429;tt0060196;The Good, the Bad and the Ugly;Il buono, il brutto, il cattivo;1966-12-23;161;it;7.81;http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly;1200000;6000000;Released;For three men the Civil War wasn't hell. It was practice.;While the Civil War rages between the Union and the Confederacy, three men , a quiet loner, a ruthless hit man and a Mexican bandit , comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.
550;tt0137523;Fight Club;Fight Club;1999-10-15;139;en;4.59;http://www.foxmovies.com/movies/fight-club;63000000;100853753;Released;Mischief. Mayhem. Soap.;"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."
120;tt0120737;The Lord of the Rings: The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring;2001-12-18;178;en;5.72;http://www.lordoftherings.net/;93000000;871368364;Released;One ring to rule them all;Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.
13;tt0109830;Forrest Gump;Forrest Gump;1994-07-06;142;en;9.03;unknown;55000000;677945399;Released;The world will never be the same, once you've seen it through the eyes of Forrest Gump.;A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.
1891;tt0080684;The Empire Strikes Back;The Empire Strikes Back;1980-05-17;124;en;9.30;http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back;18000000;538400000;Released;The Adventure Continues...;The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.
27205;tt1375666;Inception;Inception;2010-07-14;148;en;4.53;http://inceptionmovie.warnerbros.com/;160000000;825532764;Released;Your mind is the scene of the crime.;"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
121;tt0167261;The Lord of the Rings: The Two Towers;The Lord of the Rings: The Two Towers;2002-12-18;179;en;4.62;http://www.lordoftherings.net/;79000000;926287400;Released;A New Power Is Rising.;Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.
510;tt0073486;One Flew Over the Cuckoo's Nest;One Flew Over the Cuckoo's Nest;1975-11-18;133;en;8.16;unknown;3000000;108981275;Released;If he's crazy, what does that make you?;While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.
769;tt0099685;GoodFellas;GoodFellas;1990-09-12;145;en;8.96;http://www.warnerbros.com/goodfellas;25000000;46836394;Released;Three Decades of Life in the Mafia.;The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.
603;tt0133093;The Matrix;The Matrix;1999-03-30;136;en;7.94;http://www.warnerbros.com/matrix;63000000;463517383;Released;Welcome to the Real World.;Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.
346;tt0047478;Seven Samurai;????;1954-04-26;207;ja;7.72;unknown;2000000;271841;Released;The Mighty Warriors Who Became the Seven National Heroes of a Small Town;A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.
11;tt0076759;Star Wars;Star Wars;1977-05-25;121;en;9.01;http://www.starwars.com/films/star-wars-episode-iv-a-new-hope;11000000;775398007;Released;A long time ago in a galaxy far, far away...;Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
598;tt0317248;City of God;Cidade de Deus;2002-02-05;130;pt;5.51;http://cidadededeus.globo.com/;3300000;27387381;Released;If you run you're dead... if you stay, you're dead again. Period.;Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro's most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom.
807;tt0114369;Se7en;Se7en;1995-09-22;127;en;9.15;http://www.sevenmovie.com/;33000000;327311859;Released;Seven deadly sins. Seven ways to die.;"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
274;tt0102926;The Silence of the Lambs;The Silence of the Lambs;1991-02-01;119;en;4.85;unknown;19000000;272742922;Released;To enter the mind of a killer she must challenge the mind of a madman.;FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.
1585;tt0038650;It's a Wonderful Life;It's a Wonderful Life;1946-12-20;130;en;8.59;unknown;3180000;9644124;Released;It's a wonderful laugh! It's a wonderful love!;George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin.
637;tt0118799;Life Is Beautiful;La vita è bella;1997-12-20;116;it;5.69;unknown;20000000;229400000;Released;An unforgettable fable that proves love, family and imagination conquer all.;A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.
629;tt0114814;The Usual Suspects;The Usual Suspects;1995-07-19;106;en;4.80;http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects;6000000;23341568;Released;Five Criminals. One Line Up. No Coincidence.;Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor , leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.
101;tt0110413;Leon: The Professional;Léon;1994-09-14;110;fr;7.06;unknown;16000000;45284974;Released;If you want a job done well, hire a professional.;"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps."
857;tt0120815;Saving Private Ryan;Saving Private Ryan;1998-07-24;169;en;6.41;unknown;70000000;481840909;Released;The mission is a man.;As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.
129;tt0245429;Spirited Away;????????;2001-07-20;125;ja;4.88;http://movies.disney.com/spirited-away;15000000;274925095;Released;The tunnel led Chihiro to a mysterious town...;A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?
335;tt0064116;Once Upon a Time in the West;C'era una volta il West;1968-12-21;175;it;9.46;unknown;5000000;5321508;Released;There were three men in her life. One to take her... one to love her... and one to kill her.;This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.
73;tt0120586;American History X;American History X;1998-10-30;119;en;5.01;http://www.historyx.com/;20000000;23875127;Released;Some Legacies Must End.;Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.
157336;tt0816692;Interstellar;Interstellar;2014-11-05;169;en;8.22;http://www.interstellarmovie.net/;165000000;675120017;Released;Mankind was born on Earth. It was never meant to die here.;Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
539;tt0054215;Psycho;Psycho;1960-06-16;109;en;8.08;unknown;806948;32000000;Released;The master of suspense moves his cameras into the icy blackness of the unexplored!;When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine... until Marion decides to take a shower.
289;tt0034583;Casablanca;Casablanca;1942-11-26;102;en;5.36;unknown;878000;10462500;Released;They had a date with fate in Casablanca!;In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.
901;tt0021749;City Lights;City Lights;1931-01-30;87;en;8.17;http://www.charliechaplin.com/biography/articles/4-City-Lights;1500000;19181;Released;True Blind Love;City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic.
497;tt0120689;The Green Mile;The Green Mile;1999-12-10;189;en;4.66;http://thegreenmile.warnerbros.com/;60000000;284600000;Released;Miracles do happen.;A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.
77338;tt1675434;The Intouchables;Intouchables;2011-11-02;112;fr;4.71;unknown;13000000;426480871;Released;Sometimes you have to reach into someone else's world to find out what's missing in your own.;A true story of two men who should never have met , a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.
3082;tt0027977;Modern Times;Modern Times;1936-02-05;87;en;6.72;unknown;1;8500000;Released;He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
85;tt0082971;Raiders of the Lost Ark;Raiders of the Lost Ark;1981-06-12;115;en;6.69;http://www.indianajones.com;18000000;389925971;Released;Indiana Jones - the new hero from the creators of JAWS and STAR WARS.;When Dr. Indiana Jones , the tweed-suited professor who just happens to be a celebrated archaeologist , is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.
567;tt0047396;Rear Window;Rear Window;1954-08-01;112;en;9.44;unknown;1000000;36764313;Released;It only takes one witness to spoil the perfect crime.;"Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate."
423;tt0253474;The Pianist;The Pianist;2002-09-24;150;en;7.25;http://www.thepianistmovie.com/;35000000;120072577;Released;Music was his passion. Survival was his masterpiece.;The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.
1422;tt0407887;The Departed;The Departed;2006-10-05;151;en;6.60;http://thedeparted.warnerbros.com/;90000000;289847354;Released;Lies. Betrayal. Sacrifice. How far will you take it?;To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.
280;tt0103064;Terminator 2: Judgment Day;Terminator 2: Judgment Day;1991-07-01;137;en;5.37;unknown;100000000;520000000;Released;It's nothing personal.;Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.
105;tt0088763;Back to the Future;Back to the Future;1985-07-03;116;en;7.15;http://www.backtothefuture.com/movies/backtothefuture1;19000000;381109762;Released;He's the only kid ever to get into trouble before he was born.;Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.
244786;tt2582802;Whiplash;Whiplash;2014-10-10;105;en;8.10;http://sonyclassics.com/whiplash/;3300000;13092000;Released;The road to greatness can take you to the edge.;Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.
98;tt0172495;Gladiator;Gladiator;2000-05-01;155;en;6.41;unknown;103000000;457640427;Released;A Hero Will Rise.;In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.
77;tt0209144;Memento;Memento;2000-10-11;113;en;8.88;http://www.otnemem.com/;9000000;39723096;Released;Some memories are best forgotten.;Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.
1124;tt0482571;The Prestige;The Prestige;2006-10-19;130;en;7.95;http://wwws.warnerbros.de/theprestige/;40000000;109676311;Released;Are You Watching Closely?;A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.
8587;tt0110357;The Lion King;The Lion King;1994-06-23;90;en;7.05;http://movies.disney.com/the-lion-king;45000000;788241776;Released;Life's greatest adventure is finding your place in the Circle of Life.;A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.
28;tt0078788;Apocalypse Now;Apocalypse Now;1979-08-15;153;en;5.03;http://www.apocalypsenow.com;31500000;89460381;Released;This is the end...;"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
348;tt0078748;Alien;Alien;1979-05-25;117;en;5.80;https://www.facebook.com/alienanthology/;11000000;104931801;Released;In space no one can hear you scream.;During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.
599;tt0043014;Sunset Boulevard;Sunset Boulevard;1950-08-10;110;en;7.05;unknown;1752000;5000000;Released;A Hollywood Story;A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.
935;tt0057012;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964-01-29;95;en;5.51;unknown;1800000;9440272;Released;The hot-line suspense comedy;"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film."
914;tt0032553;The Great Dictator;The Great Dictator;1940-10-15;125;en;8.76;unknown;2000000;11000000;Released;Once again - the whole world laughs!;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
